date,store_id,item_id,price,promotion,holiday,season,sales
2024-01-01,101,1,63.88,1,0,Winter,81
2024-01-02,101,1,74.98,0,0,Winter,38
2024-01-03,101,1,37.38,0,0,Winter,21
2024-01-04,101,1,30.95,0,1,Winter,82
2024-01-05,101,1,63.32,0,0,Winter,75
2024-01-06,101,1,60.7,0,1,Winter,77
2024-01-07,101,1,71.49,0,0,Winter,76
2024-01-08,101,1,61.09,0,0,Winter,14
2024-01-09,101,1,63.81,1,0,Winter,85
2024-01-10,101,1,34.42,0,0,Winter,94
2024-01-11,101,1,11.41,0,0,Winter,62
2024-01-12,101,1,93.37,0,0,Winter,58
2024-01-13,101,1,39.78,1,0,Winter,62
2024-01-14,101,1,74.19,0,0,Winter,60
2024-01-15,101,1,48.48,0,0,Winter,33
2024-01-16,101,1,22.54,0,0,Winter,70
2024-01-17,101,1,16.93,0,0,Winter,36
2024-01-18,101,1,47.49,0,0,Winter,30
2024-01-19,101,1,48.44,0,0,Winter,67
2024-01-20,101,1,31.97,0,0,Winter,57
2024-01-21,101,1,96.62,0,1,Winter,77
2024-01-22,101,1,55.24,0,0,Winter,74
2024-01-23,101,1,54.05,0,0,Winter,18
2024-01-24,101,1,66.91,0,0,Winter,32
2024-01-25,101,1,26.79,1,0,Winter,60
2024-01-26,101,1,41.38,0,0,Winter,42
2024-01-27,101,1,85.39,0,0,Winter,56
2024-01-28,101,1,96.89,0,1,Winter,86
2024-01-29,101,1,41.43,0,0,Winter,52
2024-01-30,101,1,80.68,1,1,Winter,85
2024-01-31,101,1,59.39,0,0,Winter,38
2024-02-01,101,1,26.09,0,0,Winter,55
2024-02-02,101,1,58.83,0,0,Winter,19
2024-02-03,101,1,90.28,1,0,Winter,67
2024-02-04,101,1,54.33,0,0,Winter,34
2024-02-05,101,1,43.31,1,1,Winter,78
2024-02-06,101,1,61.51,0,0,Winter,41
2024-02-07,101,1,25.25,1,0,Winter,61
2024-02-08,101,1,18.75,0,0,Winter,68
2024-02-09,101,1,73.8,1,0,Winter,41
2024-02-10,101,1,92.19,1,0,Winter,66
2024-02-11,101,1,14.57,0,0,Winter,84
2024-02-12,101,1,39.53,0,0,Winter,80
2024-02-13,101,1,66.06,0,0,Winter,25
2024-02-14,101,1,21.95,0,0,Winter,71
2024-02-15,101,1,32.58,0,0,Winter,78
2024-02-16,101,1,24.08,0,0,Winter,32
2024-02-17,101,1,47.76,0,0,Winter,94
2024-02-18,101,1,20.45,0,0,Winter,68
2024-02-19,101,1,51.82,1,0,Winter,85
2024-02-20,101,1,11.38,1,0,Winter,104
2024-02-21,101,1,12.39,0,0,Winter,37
2024-02-22,101,1,21.57,0,0,Winter,45
2024-02-23,101,1,27.62,1,1,Winter,127
2024-02-24,101,1,71.47,0,0,Winter,72
2024-02-25,101,1,72.36,0,0,Winter,48
2024-02-26,101,1,82.31,1,0,Winter,109
2024-02-27,101,1,21.49,0,0,Winter,79
2024-02-28,101,1,31.47,1,0,Winter,49
2024-02-29,101,1,84.38,1,0,Winter,62
2024-03-01,101,1,96.27,0,0,Spring,79
2024-03-02,101,1,50.36,0,0,Spring,70
2024-03-03,101,1,95.16,0,0,Spring,43
2024-03-04,101,1,76.33,1,0,Spring,70
2024-03-05,101,1,78.54,0,0,Spring,91
2024-03-06,101,1,56.2,1,0,Spring,80
2024-03-07,101,1,83.15,0,0,Spring,23
2024-03-08,101,1,32.39,0,0,Spring,78
2024-03-09,101,1,61.43,0,0,Spring,87
2024-03-10,101,1,46.02,0,0,Spring,15
2024-03-11,101,1,96.69,1,0,Spring,60
2024-03-12,101,1,72.59,1,0,Spring,111
2024-03-13,101,1,50.91,0,0,Spring,65
2024-03-14,101,1,68.22,0,0,Spring,51
2024-03-15,101,1,98.76,0,1,Spring,69
2024-03-16,101,1,91.98,0,0,Spring,87
2024-03-17,101,1,93.95,0,0,Spring,86
2024-03-18,101,1,43.91,0,1,Spring,104
2024-03-19,101,1,22.05,0,0,Spring,97
2024-03-20,101,1,59.99,1,1,Spring,108
2024-03-21,101,1,50.55,1,0,Spring,111
2024-03-22,101,1,14.22,1,0,Spring,102
2024-03-23,101,1,79.51,0,0,Spring,58
2024-03-24,101,1,63.1,0,0,Spring,29
2024-03-25,101,1,73.37,0,0,Spring,47
2024-03-26,101,1,75.38,0,0,Spring,40
2024-03-27,101,1,87.61,0,0,Spring,104
2024-03-28,101,1,98.2,0,0,Spring,35
2024-03-29,101,1,40.74,0,0,Spring,90
2024-03-30,101,1,56.37,0,0,Spring,77
2024-03-31,101,1,41.29,1,0,Spring,47
2024-04-01,101,1,72.14,0,0,Spring,59
2024-04-02,101,1,15.5,1,1,Spring,105
2024-04-03,101,1,53.61,0,0,Spring,74
2024-04-04,101,1,32.72,0,0,Spring,21
2024-04-05,101,1,31.82,0,0,Spring,41
2024-04-06,101,1,29.03,0,0,Spring,43
2024-04-07,101,1,54.86,0,0,Spring,38
2024-04-08,101,1,60.8,0,0,Spring,56
2024-04-09,101,1,98.79,0,0,Spring,81
2024-04-10,101,1,32.14,0,0,Spring,72
2024-04-11,101,1,33.21,1,0,Spring,110
2024-04-12,101,1,58.15,1,0,Spring,81
2024-04-13,101,1,55.68,0,0,Spring,47
2024-04-14,101,1,17.86,0,0,Spring,65
2024-04-15,101,1,22.1,0,0,Spring,24
2024-04-16,101,1,17.91,0,0,Spring,74
2024-04-17,101,1,84.76,0,1,Spring,77
2024-04-18,101,1,28.45,1,1,Spring,116
2024-04-19,101,1,81.57,1,0,Spring,98
2024-04-20,101,1,57.08,1,0,Spring,72
2024-04-21,101,1,51.64,0,0,Spring,95
2024-04-22,101,1,41.98,0,0,Spring,46
2024-04-23,101,1,39.95,0,0,Spring,70
2024-04-24,101,1,65.81,0,0,Spring,65
2024-04-25,101,1,61.29,0,0,Spring,51
2024-04-26,101,1,19.96,0,0,Spring,91
2024-04-27,101,1,46.81,0,0,Spring,43
2024-04-28,101,1,58.85,0,0,Spring,40
2024-04-29,101,1,23.8,0,1,Spring,55
2024-04-30,101,1,75.35,0,0,Spring,87
2024-05-01,101,1,76.28,0,0,Spring,53
2024-05-02,101,1,98.64,0,0,Spring,30
2024-05-03,101,1,76.98,0,0,Spring,64
2024-05-04,101,1,45.84,0,0,Spring,75
2024-05-05,101,1,12.96,1,0,Spring,72
2024-05-06,101,1,47.7,0,0,Spring,78
2024-05-07,101,1,56.37,0,0,Spring,31
2024-05-08,101,1,58.16,0,0,Spring,62
2024-05-09,101,1,28.46,0,0,Spring,64
2024-05-10,101,1,62.87,0,0,Spring,65
2024-05-11,101,1,40.09,0,0,Spring,66
2024-05-12,101,1,67.96,0,0,Spring,26
2024-05-13,101,1,27.65,0,0,Spring,90
2024-05-14,101,1,89.87,0,0,Spring,77
2024-05-15,101,1,96.64,0,0,Spring,100
2024-05-16,101,1,90.67,0,0,Spring,64
2024-05-17,101,1,40.23,1,0,Spring,48
2024-05-18,101,1,66.17,0,0,Spring,77
2024-05-19,101,1,98.68,0,0,Spring,40
2024-05-20,101,1,46.23,0,0,Spring,27
2024-05-21,101,1,11.66,0,0,Spring,46
2024-05-22,101,1,68.63,0,0,Spring,61
2024-05-23,101,1,61.6,0,0,Spring,35
2024-05-24,101,1,26.59,0,1,Spring,94
2024-05-25,101,1,60.98,0,0,Spring,61
2024-05-26,101,1,29.34,1,0,Spring,54
2024-05-27,101,1,66.1,1,0,Spring,79
2024-05-28,101,1,73.44,0,0,Spring,88
2024-05-29,101,1,19.28,1,0,Spring,71
2024-05-30,101,1,95.52,1,0,Spring,89
2024-05-31,101,1,75.17,0,0,Spring,20
2024-06-01,101,1,72.39,1,0,Summer,55
2024-06-02,101,1,61.12,1,0,Summer,49
